,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
74,CoRoT-18,b,CoRoT-18 b,Transit,0,1,1.9000693,6.343444,0.08,86.5,0.003311421,Mass,1.31,2.2,0,0,0,0,06h32m41.38s,98.17241,-00d01m53.7s,-0.031586,870.0,780.87,15.0,V (Johnson),14.800999999999998,5440.0,0.95,1.0,2014-05-14,CoRoT
75,CoRoT-19,b,CoRoT-19 b,Transit,0,1,3.89713,11.1386576,0.047,88.0,0.0010592730000000001,Mass,1.29,0.71,0,0,0,0,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,770.0,807.99,14.007,V (Johnson),13.783,6090.0,1.21,1.65,2014-05-14,CoRoT
76,CoRoT-2,b,CoRoT-2 b,Transit,0,1,1.7429935,6.01659536,0.0143,88.08,0.003311421,Mass,1.466,1.47,1,0,0,2,19h27m06.49s,291.777056,+01d23m01.4s,1.3837139999999999,200.0,214.56,12.57,V (Johnson),12.249,5625.0,0.96,0.91,2014-05-14,CoRoT
79,CoRoT-21,b,CoRoT-21 b,Transit,0,1,2.72474,8.966834400000002,0.0,86.8,0.0021567179999999997,Mass,1.3,1.36,0,0,0,0,06h44m12.588s,101.05245,-00d17m56.868s,-0.29913,1398.83,1398.83,16.0,V (Johnson),15.856,6200.0,1.29,1.95,2018-12-06,CoRoT
80,CoRoT-22,b,CoRoT-22 b,Transit,0,1,9.75598,19.782944,0.077,89.749,3.62634e-05,Mass,0.435,0.249,0,0,0,0,18h42m40.11s,280.66711499999997,+06d13m08.9s,6.219136,592.0,638.47,13.944,V (Johnson),13.73,5939.0,1.1,1.14,2014-08-21,CoRoT
81,CoRoT-23,b,CoRoT-23 b,Transit,0,1,3.6313,10.321536,0.16,85.7,0.00267204,Mass,1.05,3.0,0,0,0,0,18h39m07.83s,279.78261499999996,+04d21m28.1s,4.357806,600.0,1092.4,15.63,V (Johnson),15.068,5900.0,1.14,1.61,2014-05-14,CoRoT
82,CoRoT-24,b,CoRoT-24 b,Transit,0,2,5.1134,12.041792000000001,0.0,86.5,1.71774e-05,Mass,0.33,0.9,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600.0,601.22,,,15.18,4950.0,0.91,0.86,2018-05-31,CoRoT
83,CoRoT-24,c,CoRoT-24 c,Transit,0,2,11.759,21.073136,0.0,89.0,8.39784e-05,Mass,0.44,1.3,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600.0,601.22,,,15.18,4950.0,0.91,0.86,2014-06-11,CoRoT
84,CoRoT-25,b,CoRoT-25 b,Transit,0,1,4.86069,12.4288496,0.0,84.5,0.000257661,Mass,1.08,0.15,0,0,0,0,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,1000.0,1137.85,,,14.710999999999999,6040.0,1.09,1.19,2014-05-14,CoRoT
85,CoRoT-26,b,CoRoT-26 b,Transit,0,1,4.20474,11.310683200000001,0.0,86.8,0.000496236,Mass,1.26,0.28,0,0,0,0,18h39m00.12s,279.750514,+06d58m11.2s,6.969786999999999,1670.0,,,,15.468,5590.0,1.09,1.79,2014-05-14,CoRoT
