logg,Teff,Z,L/HP,aLSM,bLSM,aPCM,bPCM,chi2,Type,Mod
4.0,2400,0.0,2.0,0.7518,0.1559,0.6896,0.2895,0.0702,r,PD
4.5,2400,0.0,2.0,0.809,0.1027,0.7596,0.2002,0.0758,r,PD
5.0,2400,0.0,2.0,0.7693,0.1217,0.7326,0.1944,0.038,r,PD
5.5,2400,0.0,2.0,0.798,0.0745,0.7631,0.1403,0.0424,r,PD
2.5,2500,0.0,2.0,0.6581,0.312,0.6419,0.445,0.0769,r,PD
3.0,2500,0.0,2.0,0.5993,0.338,0.5537,0.4926,0.0721,r,PD
3.5,2500,0.0,2.0,0.6114,0.3164,0.562,0.4516,0.0635,r,PD
4.0,2500,0.0,2.0,0.6559,0.2691,0.6091,0.3804,0.0445,r,PD
4.5,2500,0.0,2.0,0.6819,0.2399,0.6454,0.322,0.0338,r,PD
5.0,2500,0.0,2.0,0.7133,0.2004,0.6857,0.2604,0.0154,r,PD
5.5,2500,0.0,2.0,0.732,0.1633,0.7087,0.2116,0.0159,r,PD
2.5,2600,0.0,2.0,0.6748,0.26,0.6388,0.4516,0.0334,r,PD
3.0,2600,0.0,2.0,0.5642,0.3708,0.5257,0.5262,0.048,r,PD
3.5,2600,0.0,2.0,0.4887,0.461,0.478,0.5377,0.1032,r,PD
4.0,2600,0.0,2.0,0.5188,0.4223,0.5044,0.4859,0.0688,r,PD
4.5,2600,0.0,2.0,0.5655,0.3686,0.5503,0.4198,0.0394,r,PD
5.0,2600,0.0,2.0,0.6194,0.3053,0.6052,0.3473,0.0303,r,PD
5.5,2600,0.0,2.0,0.6402,0.2715,0.6319,0.2987,0.0333,r,PD
2.5,2700,0.0,2.0,0.6219,0.2924,0.579,0.512,0.051,r,PD
3.0,2700,0.0,2.0,0.5428,0.3833,0.5015,0.5509,0.0562,r,PD
3.5,2700,0.0,2.0,0.4391,0.4837,0.4129,0.5995,0.0877,r,PD
4.0,2700,0.0,2.0,0.4206,0.5022,0.407,0.5754,0.0896,r,PD
4.5,2700,0.0,2.0,0.4567,0.4663,0.4477,0.5156,0.0698,r,PD
5.0,2700,0.0,2.0,0.4972,0.4257,0.4975,0.4487,0.0772,r,PD
5.5,2700,0.0,2.0,0.5598,0.3531,0.5612,0.368,0.0704,r,PD
2.5,2800,0.0,2.0,0.5666,0.3392,0.5293,0.5649,0.0943,r,PD
3.0,2800,0.0,2.0,0.5078,0.4109,0.4703,0.5813,0.0913,r,PD
3.5,2800,0.0,2.0,0.3887,0.513,0.3581,0.6488,0.1143,r,PD
4.0,2800,0.0,2.0,0.3402,0.5566,0.3286,0.6386,0.1366,r,PD
4.5,2800,0.0,2.0,0.3579,0.5437,0.3589,0.5856,0.1271,r,PD
5.0,2800,0.0,2.0,0.4016,0.5017,0.4091,0.5198,0.112,r,PD
5.5,2800,0.0,2.0,0.4769,0.4254,0.4828,0.4372,0.0913,r,PD
2.5,2900,0.0,2.0,0.5308,0.3468,0.4826,0.6146,0.112,r,PD
3.0,2900,0.0,2.0,0.4704,0.4242,0.4254,0.6244,0.1166,r,PD
3.5,2900,0.0,2.0,0.363,0.5277,0.333,0.6718,0.1468,r,PD
4.0,2900,0.0,2.0,0.3035,0.5704,0.2862,0.6723,0.1607,r,PD
4.5,2900,0.0,2.0,0.2812,0.583,0.2817,0.638,0.1776,r,PD
5.0,2900,0.0,2.0,0.3118,0.5604,0.3236,0.5809,0.1617,r,PD
5.5,2900,0.0,2.0,0.3906,0.4847,0.4002,0.4963,0.1206,r,PD
2.5,3000,0.0,2.0,0.4769,0.3914,0.4397,0.6674,0.1728,r,PD
3.0,3000,0.0,2.0,0.43,0.431,0.3712,0.6834,0.1459,r,PD
3.5,3000,0.0,2.0,0.3509,0.5159,0.3101,0.6908,0.1642,r,PD
4.0,3000,0.0,2.0,0.2769,0.5639,0.252,0.6843,0.1817,r,PD
4.5,3000,0.0,2.0,0.2517,0.5877,0.2498,0.6513,0.1994,r,PD
5.0,3000,0.0,2.0,0.2435,0.5905,0.2584,0.6129,0.2085,r,PD
5.5,3000,0.0,2.0,0.3042,0.5396,0.3205,0.5462,0.1632,r,PD
2.5,2300,0.0,2.0,0.3685,0.5069,0.2997,0.6911,0.1762,q,PC
3.0,2300,0.0,2.0,0.3895,0.4724,0.3425,0.6024,0.1609,q,PC
3.5,2300,0.0,2.0,0.4372,0.4266,0.406,0.5174,0.136,q,PC
4.0,2300,0.0,2.0,0.4846,0.3947,0.4707,0.4445,0.111,q,PC
4.5,2300,0.0,2.0,0.5084,0.3663,0.4986,0.4044,0.0903,q,PC
5.0,2300,0.0,2.0,0.5221,0.3406,0.5213,0.3601,0.0898,q,PC
5.5,2300,0.0,2.0,0.4723,0.3571,0.4763,0.3689,0.1045,q,PC
6.0,2300,0.0,2.0,0.4487,0.3688,0.4587,0.3695,0.1181,q,PC
2.5,2400,0.0,2.0,0.3279,0.5202,0.2453,0.7367,0.1905,q,PC
3.0,2400,0.0,2.0,0.3381,0.4957,0.28,0.6518,0.1732,q,PC
3.5,2400,0.0,2.0,0.3753,0.473,0.3431,0.5703,0.1584,q,PC
4.0,2400,0.0,2.0,0.4303,0.4394,0.4181,0.4896,0.129,q,PC
4.5,2400,0.0,2.0,0.4859,0.4011,0.4808,0.4315,0.0976,q,PC
5.0,2400,0.0,2.0,0.4759,0.4064,0.4802,0.4174,0.0941,q,PC
5.5,2400,0.0,2.0,0.4665,0.3962,0.4746,0.3996,0.0992,q,PC
6.0,2400,0.0,2.0,0.4443,0.3961,0.4576,0.3907,0.1129,q,PC
2.5,2500,0.0,2.0,0.2995,0.5208,0.1999,0.7758,0.2034,q,PC
3.0,2500,0.0,2.0,0.291,0.5076,0.2168,0.7001,0.1867,q,PC
3.5,2500,0.0,2.0,0.3129,0.5033,0.2728,0.6208,0.1795,q,PC
4.0,2500,0.0,2.0,0.3577,0.4856,0.3442,0.5439,0.159,q,PC
4.5,2500,0.0,2.0,0.4166,0.4546,0.4147,0.484,0.1282,q,PC
5.0,2500,0.0,2.0,0.4723,0.4172,0.4777,0.4262,0.096,q,PC
5.5,2500,0.0,2.0,0.4326,0.4481,0.4468,0.4423,0.1071,q,PC
6.0,2500,0.0,2.0,0.4235,0.4328,0.4406,0.4214,0.1176,q,PC
2.5,2600,0.0,2.0,0.2916,0.5145,0.1817,0.7932,0.214,q,PC
3.0,2600,0.0,2.0,0.2604,0.5062,0.1682,0.7381,0.194,q,PC
3.5,2600,0.0,2.0,0.2626,0.5157,0.2077,0.6668,0.1958,q,PC
4.0,2600,0.0,2.0,0.2903,0.515,0.2691,0.5934,0.1853,q,PC
4.5,2600,0.0,2.0,0.3363,0.5091,0.337,0.5396,0.1643,q,PC
5.0,2600,0.0,2.0,0.3858,0.489,0.3979,0.4918,0.1351,q,PC
5.5,2600,0.0,2.0,0.4373,0.4517,0.4512,0.4459,0.1039,q,PC
6.0,2600,0.0,2.0,0.4559,0.4296,0.4723,0.4175,0.0971,q,PC
2.5,2700,0.0,2.0,0.3023,0.4981,0.183,0.7976,0.2066,q,PC
3.0,2700,0.0,2.0,0.2446,0.5012,0.1389,0.763,0.1991,q,PC
3.5,2700,0.0,2.0,0.2292,0.5121,0.1578,0.6986,0.2037,q,PC
4.0,2700,0.0,2.0,0.2396,0.5223,0.206,0.6289,0.203,q,PC
4.5,2700,0.0,2.0,0.2636,0.5363,0.2593,0.5824,0.1983,q,PC
5.0,2700,0.0,2.0,0.3025,0.5408,0.3177,0.5445,0.1768,q,PC
5.5,2700,0.0,2.0,0.347,0.5211,0.3686,0.508,0.1492,q,PC
6.0,2700,0.0,2.0,0.4272,0.4242,0.4155,0.4658,0.0773,q,PC
2.5,2800,0.0,2.0,0.3267,0.4821,0.2061,0.785,0.1987,q,PC
3.0,2800,0.0,2.0,0.2399,0.5006,0.1269,0.7793,0.2075,q,PC
3.5,2800,0.0,2.0,0.2089,0.5054,0.1228,0.7235,0.208,q,PC
4.0,2800,0.0,2.0,0.2053,0.5153,0.1562,0.6551,0.2113,q,PC
4.5,2800,0.0,2.0,0.2164,0.5335,0.1999,0.6068,0.2166,q,PC
5.0,2800,0.0,2.0,0.2423,0.5479,0.252,0.5674,0.2105,q,PC
5.5,2800,0.0,2.0,0.2755,0.5493,0.3006,0.536,0.1962,q,PC
2.5,2900,0.0,2.0,0.3507,0.4801,0.2438,0.7541,0.2133,q,PC
3.0,2900,0.0,2.0,0.2489,0.4926,0.1345,0.7738,0.2039,q,PC
3.5,2900,0.0,2.0,0.2025,0.4948,0.1066,0.7331,0.2048,q,PC
4.0,2900,0.0,2.0,0.1859,0.5026,0.1271,0.6625,0.2135,q,PC
4.5,2900,0.0,2.0,0.1863,0.5198,0.1598,0.6141,0.2236,q,PC
5.0,2900,0.0,2.0,0.1998,0.5387,0.2016,0.5762,0.229,q,PC
5.5,2900,0.0,2.0,0.2275,0.552,0.2491,0.5496,0.2248,q,PC
6.0,2900,0.0,2.0,0.2702,0.5468,0.3018,0.5216,0.2018,q,PC
2.5,3000,0.0,2.0,0.4018,0.4459,0.2996,0.7064,0.1811,q,PC
3.0,3000,0.0,2.0,0.2654,0.4844,0.1582,0.7492,0.2011,q,PC
3.5,3000,0.0,2.0,0.2018,0.4909,0.1094,0.7219,0.2108,q,PC
4.0,3000,0.0,2.0,0.1764,0.4908,0.1125,0.6609,0.2144,q,PC
4.5,3000,0.0,2.0,0.1693,0.5023,0.1326,0.6171,0.2244,q,PC
5.5,3000,0.0,2.0,0.1933,0.5347,0.2085,0.5462,0.2396,q,PC
6.0,3000,0.0,2.0,0.223,0.543,0.2539,0.522,0.2304,q,PC
2.5,3100,0.0,2.0,0.477,0.4006,0.3903,0.6244,0.166,q,PC
3.0,3100,0.0,2.0,0.2884,0.4757,0.1875,0.7269,0.1982,q,PC
