,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
4050,WASP-44,b,WASP-44 b,Transit,0,1,2.423804,7.42505496,,86.21,0.000830241,Mass,1.1,0.811,0,0,0,0,00h15m36.76s,3.903165,-11d56m17.2s,-11.938115,368.31,368.31,12.9,V (Johnson),12.895999999999999,5420.0,0.94,0.91,2019-09-26,SuperWASP
4051,WASP-45,b,WASP-45 b,Transit,0,1,3.126089,8.52171816,,85.02,0.0009199452,Mass,0.946,1.418,0,0,0,0,00h20m57.00s,5.237497,-35d59m53.7s,-35.998259999999995,212.48,212.48,12.0,V (Johnson),12.049000000000001,5150.0,0.85,0.85,2019-09-26,SuperWASP
4052,WASP-46,b,WASP-46 b,Transit,0,1,1.43036763,5.0209972,,82.8,0.0018227130000000001,Mass,1.1740000000000002,1.467,0,0,0,0,21h14m56.88s,318.736981,-55d52m18.4s,-55.87178,379.36,379.36,12.9,V (Johnson),12.852,5600.0,0.83,0.86,2015-12-03,SuperWASP
4059,WASP-5,b,WASP-5 b,Transit,0,1,1.6284279,5.7413544000000005,0.038,86.9,0.0015077940000000002,Mass,1.087,1.64,0,0,0,1,23h57m23.76s,359.348991,-41d16m37.7s,-41.277149,311.88,311.88,12.3,V (Johnson),11.995999999999999,5700.0,0.96,1.03,2014-10-29,SuperWASP
4060,WASP-50,b,WASP-50 b,Transit,0,1,1.9551,6.3004376,,84.88,0.0014016758400000001,Mass,1.166,1.325,0,0,0,0,02h54m45.14s,43.688072999999996,-10d53m53.1s,-10.89808,185.82,185.82,11.6,V (Johnson),11.552,5400.0,0.89,0.84,2019-07-11,SuperWASP
4061,WASP-52,b,WASP-52 b,Transit,0,1,1.7497798,5.8488704,0.0,85.35,0.000438978,Mass,1.27,0.29,0,0,0,1,23h13m58.74s,348.494748,+08d45m40.5s,8.761262,140.0,175.69,12.0,V (Johnson),11.954,5000.0,0.87,0.79,2014-05-14,SuperWASP
4075,WASP-64,b,WASP-64 b,Transit,0,1,1.5732918,5.69404736,0.0,86.57,0.0012129153,Mass,1.271,0.823,0,0,0,0,06h44m27.61s,101.115041,-32d51m30.2s,-32.858402000000005,350.0,373.9,12.29,V (Johnson),12.526,5400.0,1.0,1.06,2014-05-14,SuperWASP
4076,WASP-65,b,WASP-65 b,Transit,0,1,2.3114243,7.182068800000001,0.0,88.8,0.0014791650000000002,Mass,1.112,1.5,0,0,0,0,08h53m17.83s,133.324304,+08d31m22.9s,8.523038,310.0,275.86,11.9,V (Johnson),11.751,5600.0,0.93,1.01,2014-05-14,SuperWASP
4087,WASP-75,b,WASP-75 b,Transit,0,1,2.484193,8.0637,0.0,82.0,0.0010211010000000002,Mass,1.27,0.69,0,0,1,0,22h49m32.57s,342.38570699999997,-10d40m32.0s,-10.67556,260.0,296.44,11.45,V (Johnson),11.335,6100.0,1.14,1.26,2014-05-14,SuperWASP
4088,WASP-76,b,WASP-76 b,Transit,0,1,1.809886,7.096056000000001,0.0,88.0,0.000877956,Mass,1.83,0.201,0,0,0,0,01h46m31.86s,26.632746,+02d42m01.9s,2.700539,120.0,195.3,9.5,V (Johnson),9.395,6250.0,1.46,1.73,2016-01-21,SuperWASP
4094,WASP-80,b,WASP-80 b,Transit,0,1,3.06785234,7.3971008000000005,0.002,89.02,0.0005134134,Mass,0.9990000000000001,0.717,0,0,0,0,20h12m40.18s,303.16740699999997,-02d08m39.1s,-2.1442080000000003,49.86,49.86,11.87,V (Johnson),11.273,4143.0,0.58,0.59,2015-04-16,SuperWASP
4099,WASP-85 A,b,WASP-85 A b,Transit,0,1,2.6556777,8.386248,0.0,89.69,0.0012071895,Mass,1.24,0.88,0,0,1,0,11h43m38.01s,175.908386,+06d33m49.4s,6.563725999999999,142.46,142.46,10.72,V (Johnson),10.624,6112.0,1.09,0.94,2016-07-07,K2
4104,WASP-91,b,WASP-91 b,Transit,0,1,2.798581,7.956184,0.0,86.8,0.0012787620000000001,Mass,1.03,1.59,0,0,0,0,23h51m22.89s,357.845367,-70d09m10.2s,-70.15283199999999,150.59,150.59,12.0,V (Johnson),11.624,4920.0,0.84,0.86,2017-08-17,SuperWASP-South
4106,WASP-93,b,WASP-93 b,Transit,0,1,2.7325321,9.05499752,0.0,81.18,0.001402821,Mass,1.597,0.479,0,0,0,0,00h37m50.11s,9.458791999999999,+51d17m19.5s,51.288761,250.0,374.06,10.97,V (Johnson),10.978,6700.0,1.33,1.52,2016-09-08,SuperWASP
4108,WASP-94 B,b,WASP-94 B b,Radial Velocity,0,1,2.00839,7.203572000000001,0.0,,0.0005897574,Msini,,,0,0,0,0,20h55m09.16s,313.788158,-34d08m07.9s,-34.135521000000004,180.0,209.93,10.5,V (Johnson),10.405,6040.0,1.24,1.35,2014-10-03,SuperWASP
4123,XO-2 N,b,XO-2 N b,Transit,0,1,2.61586178,7.9131776,,88.01,0.0005401338,Mass,0.993,0.715,0,0,0,0,07h48m06.47s,117.026968,+50d13m32.9s,50.2258,154.94,154.94,11.138,V (Johnson),10.972000000000001,,0.97,0.99,2019-02-14,XO
4131,YZ Cet,b,YZ Cet b,Radial Velocity,0,3,1.96876,3.34804824,0.0,,2.252148e-06,Msini,,,0,0,0,1,01h12m30.64s,18.127668,-16d59m56.3s,-16.998966,3.6,,12.074000000000002,V (Johnson),,3056.0,0.13,0.17,2017-08-24,La Silla Observatory
4132,YZ Cet,c,YZ Cet c,Radial Velocity,0,3,3.06008,4.4941688,0.04,,2.9392440000000005e-06,Msini,,,0,0,0,1,01h12m30.64s,18.127668,-16d59m56.3s,-16.998966,3.6,,12.074000000000002,V (Johnson),,3056.0,0.13,0.17,2017-08-24,La Silla Observatory
4161,tau Boo,b,tau Boo b,Radial Velocity,0,1,3.3124568,10.536568,0.011,,0.004122576,Msini,,,0,0,0,0,13h47m15.74s,206.815598,+17d27m24.9s,17.456905,15.66,15.66,4.5,V (Johnson),4.295,6400.0,1.34,1.46,2015-04-16,Roque de los Muchachos Observatory
