System,pl_orbincl,st_rad,Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,length,depth,T0,T0err,Period,Perioderr,Ephemeris_reference,st_logg,Teff,Z,pl_orbsmax
HAT-P-30,90,1.215, TEP  ,8,15,47.98,5,50,12.3,10.36,9.15,0.0887,0.013000000000000000,2455456.4662,0.00013000000000000000,2.8106084,1.1E-06,2016AcA....66...55M,4.36,6338,0.12,0.0419
HAT-P-31,90,1.36, TEP  ,18,6,9.0,26,25,36.0,11.66,10.08,0.214,0.0051,2458169.941,0.0017,5.0052724,6.3E-06,arXiv:1812.05882,4.26,6065,0.15,0.055
HAT-P-33,90,1.637, TEP  ,7,32,44.2,33,50,6.2,11.19,10.0,0.1839,0.012,2456035.13775,0.00027,3.47447472,8.8E-07,2017AJ....154...49W,4.15,6446,0.07,0.0499
HAT-P-34,90,1.535, TEP  ,20,12,46.88,18,6,17.5,10.16,9.25,0.1455,0.008,2456462.14718,0.00041,5.452647,3.1E-06,arXiv:1812.05882,4.21,6442,0.22,0.0677
HAT-P-50,90,1.698, TEP  ,7,52,15.2,12,8,21.9,11.76,10.5,0.1531,0.006,2456285.90993,0.00036,3.1220109000000000,6.5E-06,2015AJ....150..168H,4.072,6280,-0.180,0.04530
HAT-P-67,90,2.546, TEP  ,17,6,26.56,44,46,37.1,10.11,8.9,0.2912,0.008,2455961.38467,0.0007,4.8101025,4.8E-06,2017AJ....153..211Z,3.854,6406,-0.08,0.06505
HATS-33,90,1.022, TEP  ,19,38,31.92,-55,19,48.4,11.91,10.29,0.1115,0.022000000000000000,2456497.23181,0.0005,2.5495551,6.1E-06,2016AJ....152..161D,4.445,5659,0.290,0.03727
HD_002685,90,1.57, TEP  ,0,29,18.95,-76,18,14.6,9.59,8.6,0.18,0.01,2458325.7829,0.00016,4.12692,4E-05,arXiv:1811.05518,4.22,6801,0.02,0.0568
HD_271181,90,1.648, TEP  ,5,19,4.35,-71,53,43.9,11.47,10.12,0.205,0.01,2458328.8797,0.0006,4.231306,6E-05,arXiv:1906.09866,4.33,6495,0.22,0.0580
HIP_00065,90,0.7242, TEP  ,0,0,44.56,-54,49,50.9,11.13,8.29,0.03274,0.006,2458326.10418,0.00011,0.9809734,3.1E-06,arXiv:2003.05932,4.611,4590,0.18,0.01782
HIP_67522,90,1.38, TEP  ,13,50,6.28,-40,50,8.9,9.88,8.16,0.2009,0.005,2458604.02371,0.00037,6.959503,1.6E-05,arXiv:2005.00013,4.24,5675,0.2,0.0762
K2-237,90,1.34, TEP  ,16,55,4.53,-28,42,38.0,11.6,10.22,0.126,0.015,2457782.93422,0.00014,2.1805358000000000,1E-06,arXiv:2005.01684,4.24,6099,0.00,0.0352
KELT-01,90,1.471, BD   ,0,1,26.92,39,23,1.7,10.7,9.44,0.11526000000000000,0.006,2457306.97624,0.00028,1.21749394,2.5E-07,arXiv:2006.10292,4.337,6516,0.052,0.02472
KELT-03,90,1.472, TEP  ,9,54,34.39,40,23,17.0,9.82,8.66,0.11419000000000000,0.01,2456023.48038,0.00025,2.70339216,9E-07,arXiv:1812.05882,4.209,6306,0.044,0.04122
KELT-06,90,1.580, TEP  ,13,3,55.65,30,38,24.3,10.42,9.08,0.23,0.007000000000000000,2457124.50954,0.00057,7.845582,7E-06,2015A+A...581L...6D,4.074,6102,-0.281,0.07939
KELT-07,90,1.732, TEP  ,5,13,10.93,33,19,5.4,8.54,7.54,0.1463,0.008,2456355.22981,0.0002,2.73476468,4.6E-07,arXiv:1901.07040,4.149,6789,0.139,0.04415
KELT-08,90,1.67, TEP  ,18,53,13.32,24,7,38.5,10.83,9.18,0.1444,0.013000000000000000,2457396.0449600000,0.00055,3.2440796,4.8E-06,arXiv:1812.05882,4.078,5754,0.272,0.04571
KELT-09,90,2.418, TEP  ,20,31,26.35,39,56,19.8,7.56,7.48,0.16361000000000000,0.0068000000000000000,2457095.68572,0.00014,1.4811235,1.1E-06,2017Natur.546..514G,4.037,9600,0.14,0.03368
KELT-15,90,1.481, TEP  ,7,49,39.61,-52,7,13.6,11.44,9.85,0.1719,0.012,2458527.42971,0.00017000000000000000,3.329468,1.2E-05,arXiv:2005.01684,4.234,6003,0.047,0.04613
KELT-16,90,1.360, TEP  ,20,57,4.44,31,39,39.6,11.9,10.64,0.1037,0.013000000000000000,2457910.03913,0.00011,0.96899319,3E-07,arXiv:2002.02606,4.253,6236,0.002,0.02044
KELT-18,90,1.908, TEP  ,14,26,5.78,59,26,39.2,10.21,9.21,0.1935,0.0085,2457542.52504,0.00039,2.8717518000000000,2.8E-06,2017AJ....153..263M,4.060,6670,0.09,0.04550
KELT-19,90,1.830, TEP  ,7,26,2.29,7,36,56.8,9.9,9.2,0.1831,0.012,2457281.24954,0.00036,4.6117093,9.9E-06,2018AJ....155...35S,4.127,7500,-0.12,0.0637
KELT-20,90,1.561, TEP  ,19,38,38.73,31,13,9.2,7.59,7.42,0.12897,0.013000000000000000,2457503.12005,0.00019000000000000000,3.474107,1.9E-06,2017AJ....154..194L,4.292,8730,-0.29,0.0542
KELT-23,90,0.995, TEP  ,15,28,35.19,66,21,31.5,10.25,8.9,0.09923,0.02,2458144.89705,0.00091,2.255353,3.1E-05,arXiv:1903.00031,4.418,5900,-0.105,0.03303
KELT-24,90,1.506, TEP  ,10,47,38.35,71,39,21.2,8.39,7.15,0.1791,0.008,2457147.053,0.002,5.5514926000000000,8E-06,arXiv:1906.03276,4.248,6508,0.188,0.06971
TrES-1,90,0.818, TEP  ,19,4,9.84,36,37,57.5,11.79,9.82,0.10400000000000000,0.022000000000000000,2455016.969937,7E-05,3.03006973,1.8E-07,2015MNRAS.450.3101B,4.563,5226,0.06,0.03946
TrES-2,90,0.964, TEP  ,19,7,14.04,49,18,59.0,11.41,9.85,0.07451,0.015,2453957.635499,1.3E-05,2.47061337,1.9E-07,2014MNRAS.444.1351R,4.466,5850,-0.15,0.03567
TrES-4,90,1.81, TEP  ,17,53,13.06,37,12,42.4,11.59,10.33,0.1524,0.011000000000000000,2454230.9056,0.0003,3.55392771,4.7E-07,2015A+A...575L..15S,4.09,6295,0.28,0.0516
WASP-003,90,1.298, TEP  ,18,34,31.62,35,39,41.5,10.64,9.36,0.1162,0.013000000000000000,2454143.8511200000,0.00022,1.8468351,3.2E-07,2018IBVS.6243....1M,4.26,6340,0.161,0.0305
WASP-013,90,1.657, TEP  ,9,20,24.7,33,52,56.5,10.51,9.12,0.1668,0.009000000000000000,2455575.5136,0.0016,4.353011,1.3E-05,2012MNRAS.419.1248B,4.086,6025,0.0557,0.11
WASP-015,90,1.522, TEP  ,13,55,42.71,-32,9,34.6,10.92,9.69,0.1547,0.012,2454584.69859,0.00029,3.75209748,8.1E-07,2013MNRAS.434.1300S,4.189,6573,0.09,0.05165
WASP-016,90,1.087, TEP  ,14,18,43.92,-20,16,31.9,11.31,9.59,0.08,0.013000000000000000,2454584.42898,0.00038000000000000000,3.1186068,1.2E-06,2013MNRAS.434.1300S,4.357,5630,0.07,0.04150
WASP-017,90,1.583, TEP  ,15,59,50.95,-28,3,42.3,11.5,10.22,0.183,0.018000000000000000,2454592.8015400000,0.0005,3.7354845,1.9E-06,2012MNRAS.426.1338S,4.149,6550,-0.25,0.05135
WASP-018,90,1.255, TEP  ,1,37,25.03,-45,40,40.4,9.27,8.13,0.09089,0.012,2458022.12523,2E-05,0.94145242,2E-08,arXiv:2002.02606,4.353,6400,0.10,0.02055
